Behaviour,Actor,Receiver,T_start,T_stop,treatment_rep
G,26,9,2021-03-16T12:21:17.798495294Z,2021-03-16T12:21:28.798617654Z,R3SP
TB,19,NA,2021-03-16T12:21:15.048520740Z,2021-03-16T12:21:40.673637005Z,R3SP
SG,25,NA,2021-03-16T12:21:05.923332154Z,2021-03-16T12:21:10.298477668Z,R3SP
SG,15,NA,2021-03-16T12:21:04.673368930Z,2021-03-16T12:21:07.548370250Z,R3SP
SG,19,NA,2021-03-16T12:21:01.423352269Z,2021-03-16T12:21:05.173377800Z,R3SP
G,2,17,2021-03-16T12:20:55.673314746Z,2021-03-16T12:22:04.798832615Z,R3SP
G,2,17,2021-03-16T12:20:55.673314746Z,2021-03-16T12:22:04.798832615Z,R3SP
TB,22,NA,2021-03-16T12:20:51.673268176Z,2021-03-16T12:21:03.173291435Z,R3SP
G,2,5,2021-03-16T12:20:48.923211010Z,2021-03-16T12:20:52.798284357Z,R3SP
G,2,5,2021-03-16T12:20:48.923211010Z,2021-03-16T12:20:52.798284357Z,R3SP
SG,14,NA,2021-03-16T12:20:42.298163231Z,2021-03-16T12:20:46.923251406Z,R3SP
SG,16,NA,2021-03-16T12:20:42.298163231Z,2021-03-16T12:21:29.673554986Z,R3SP
SG,22,NA,2021-03-16T12:20:33.673102668Z,2021-03-16T12:20:36.423166711Z,R3SP
SG,7,NA,2021-03-16T12:20:33.423160231Z,2021-03-16T12:20:50.673284906Z,R3SP
SG,4,NA,2021-03-16T12:20:33.298169225Z,2021-03-16T12:20:35.798113516Z,R3SP
SG,1,NA,2021-03-16T12:20:31.923130925Z,2021-03-16T12:20:46.798284400Z,R3SP
FR,4,13,2021-03-16T12:20:28.798160070Z,2021-03-16T12:20:31.423089071Z,R3SP
SG,6,NA,2021-03-16T12:20:27.173118496Z,2021-03-16T12:21:10.298477668Z,R3SP
SG,1,NA,2021-03-16T12:20:26.048137614Z,2021-03-16T12:20:30.048065569Z,R3SP
SG,2,NA,2021-03-16T12:20:19.548054298Z,2021-03-16T12:20:27.548156220Z,R3SP
T,6,7,2021-03-16T12:19:59.297931359Z,2021-03-16T12:20:15.047964116Z,R3SP
T,7,6,2021-03-16T12:19:59.297931359Z,2021-03-16T12:20:15.047964116Z,R3SP
SG,18,NA,2021-03-16T12:19:57.547940076Z,2021-03-16T12:20:12.798031048Z,R3SP
TB,19,NA,2021-03-16T12:19:57.547940076Z,2021-03-16T12:20:06.422968691Z,R3SP
G,1,5,2021-03-16T12:19:52.672858071Z,2021-03-16T12:20:16.547966403Z,R3SP
G,1,5,2021-03-16T12:19:52.672858071Z,2021-03-16T12:20:16.547966403Z,R3SP
SG,19,NA,2021-03-16T12:19:48.047821840Z,2021-03-16T12:19:56.422885905Z,R3SP
T,4,20,2021-03-16T12:19:42.047811152Z,2021-03-16T12:19:50.172854242Z,R3SP
T,4,20,2021-03-16T12:19:42.047811152Z,2021-03-16T12:19:50.172854242Z,R3SP
SG,18,NA,2021-03-16T12:19:41.047757093Z,2021-03-16T12:19:53.422823029Z,R3SP
TB,22,NA,2021-03-16T12:19:30.547703280Z,2021-03-16T12:19:57.922908873Z,R3SP
SG,18,NA,2021-03-16T12:19:25.422710738Z,2021-03-16T12:19:30.172644501Z,R3SP
SG,2,NA,2021-03-16T12:19:21.672650503Z,2021-03-16T12:19:37.172757026Z,R3SP
SG,7,NA,2021-03-16T12:19:19.797632452Z,2021-03-16T12:19:50.547854390Z,R3SP
TB,19,NA,2021-03-16T12:19:18.422644804Z,2021-03-16T12:19:27.422681212Z,R3SP
G,26,14,2021-03-16T12:19:16.922639654Z,2021-03-16T12:19:32.172718779Z,R3SP
G,26,14,2021-03-16T12:19:16.922639654Z,2021-03-16T12:19:32.172718779Z,R3SP
CR,25,27,2021-03-16T12:19:15.797607599Z,2021-03-16T12:20:27.673116428Z,R3SP
CR,25,27,2021-03-16T12:19:15.797607599Z,2021-03-16T12:20:27.673116428Z,R3SP
SG,5,NA,2021-03-16T12:19:15.547606659Z,2021-03-16T12:19:21.047658731Z,R3SP
SG,24,NA,2021-03-16T12:19:06.172543374Z,2021-03-16T12:19:16.547616128Z,R3SP
SG,1,NA,2021-03-16T12:19:02.047468999Z,2021-03-16T12:19:30.172644501Z,R3SP
FR,1,26,2021-03-16T12:18:49.672427106Z,2021-03-16T12:18:51.547438394Z,R3SP
FR,26,1,2021-03-16T12:18:49.672427106Z,2021-03-16T12:18:51.547438394Z,R3SP
TB,2,NA,2021-03-16T12:18:46.297409708Z,2021-03-16T12:19:00.172435337Z,R3SP
T,7,18,2021-03-16T12:18:39.047350340Z,2021-03-16T12:19:10.797521246Z,R3SP
T,18,7,2021-03-16T12:18:39.047350340Z,2021-03-16T12:19:10.797521246Z,R3SP
SG,26,NA,2021-03-16T12:18:37.797346027Z,2021-03-16T12:18:43.422382047Z,R3SP
SG,2,NA,2021-03-16T12:18:35.422274080Z,2021-03-16T12:18:45.797403645Z,R3SP
SG,24,NA,2021-03-16T12:18:31.797296856Z,2021-03-16T12:18:38.797363126Z,R3SP
