colony	tag	survived_treatment	treatment	REP_treat
colony03BP	77	TRUE	pathogen.big	R3BP
colony03BP	78	TRUE	pathogen.big	R3BP
colony03BP	109	TRUE	pathogen.big	R3BP
colony03BP	111	TRUE	pathogen.big	R3BP
colony03BP	136	TRUE	pathogen.big	R3BP
colony03BP	155	TRUE	pathogen.big	R3BP
colony03BP	175	TRUE	pathogen.big	R3BP
colony03BP	183	TRUE	pathogen.big	R3BP
colony03BS	10	TRUE	control.big	R3BS
colony03BS	16	TRUE	control.big	R3BS
colony03BS	27	TRUE	control.big	R3BS
colony03BS	27	TRUE	control.big	R3BS
colony03BS	35	TRUE	control.big	R3BS
colony03BS	49	TRUE	control.big	R3BS
colony03BS	60	TRUE	control.big	R3BS
colony03BS	74	TRUE	control.big	R3BS
colony03BS	78	TRUE	control.big	R3BS
colony03BS	131	TRUE	control.big	R3BS
colony03BS	136	TRUE	control.big	R3BS
colony03BS	172	TRUE	control.big	R3BS
colony03BS	175	TRUE	control.big	R3BS
colony03BS	180	TRUE	control.big	R3BS
colony03SP	5	TRUE	pathogen.small	R3SP
colony03SP	17	TRUE	pathogen.small	R3SP
colony03SS	3	TRUE	control.small	R3SS
colony03SS	28	TRUE	control.small	R3SS
colony04BP	20	TRUE	pathogen.big	R4BP
colony04BP	28	TRUE	pathogen.big	R4BP
colony04BP	54	TRUE	pathogen.big	R4BP
colony04BP	60	TRUE	pathogen.big	R4BP
colony04BP	73	TRUE	pathogen.big	R4BP
colony04BP	80	TRUE	pathogen.big	R4BP
colony04BP	94	TRUE	pathogen.big	R4BP
colony04BP	101	TRUE	pathogen.big	R4BP
colony04BP	105	TRUE	pathogen.big	R4BP
colony04BP	116	TRUE	pathogen.big	R4BP
colony04BP	125	TRUE	pathogen.big	R4BP
colony04BP	134	TRUE	pathogen.big	R4BP
colony04BP	144	TRUE	pathogen.big	R4BP
colony04BP	147	TRUE	pathogen.big	R4BP
colony04BP	153	TRUE	pathogen.big	R4BP
colony04BP	155	TRUE	pathogen.big	R4BP
colony04BP	161	TRUE	pathogen.big	R4BP
colony04BP	174	TRUE	pathogen.big	R4BP
