Column,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,T_start_UNIX,T_stop_UNIX,duration
689,SG,20,NA,20,2021-03-16T12:29:30.427051999Z,2021-03-16T12:31:10.677756240Z,post,R3SP,2021-03-16 12:29:30,2021-03-16 12:31:10,100.250704288483
690,SG,20,NA,20,2021-03-16T12:31:27.552887602Z,2021-03-16T12:31:33.553281043Z,post,R3SP,2021-03-16 12:31:27,2021-03-16 12:31:33,6.00039339065552
691,CR,20,6,20,2021-03-16T12:31:35.802909794Z,2021-03-16T12:31:42.052909607Z,post,R3SP,2021-03-16 12:31:35,2021-03-16 12:31:42,6.24999976158142
692,SG,20,NA,20,2021-03-16T12:31:59.428013208Z,2021-03-16T12:32:03.178059293Z,post,R3SP,2021-03-16 12:31:59,2021-03-16 12:32:03,3.75004601478577
695,SG,20,NA,20,2021-03-16T12:33:10.178541007Z,2021-03-16T12:33:14.803637309Z,post,R3SP,2021-03-16 12:33:10,2021-03-16 12:33:14,4.62509632110596
696,SG,20,NA,20,2021-03-16T12:34:41.554193021Z,2021-03-16T12:34:50.554238989Z,post,R3SP,2021-03-16 12:34:41,2021-03-16 12:34:50,9.00004601478577
699,CR,20,1,20,2021-03-16T12:42:41.307582089Z,2021-03-16T12:42:47.557756460Z,post,R3SP,2021-03-16 12:42:41,2021-03-16 12:42:47,6.25017428398132
700,SG,21,NA,21,2021-03-16T12:36:28.430415920Z,2021-03-16T12:36:46.180121276Z,post,R3SP,2021-03-16 12:36:28,2021-03-16 12:36:46,17.7497053146362
702,SG,22,NA,22,2021-03-16T12:28:26.051596844Z,2021-03-16T12:28:46.176659342Z,post,R3SP,2021-03-16 12:28:26,2021-03-16 12:28:46,20.1250624656677
703,SG,22,NA,22,2021-03-16T12:29:19.051946043Z,2021-03-16T12:29:20.926813306Z,post,R3SP,2021-03-16 12:29:19,2021-03-16 12:29:20,1.87486743927002
704,SG,22,NA,22,2021-03-16T12:30:30.302310477Z,2021-03-16T12:30:37.677439818Z,post,R3SP,2021-03-16 12:30:30,2021-03-16 12:30:37,7.37512946128845
705,SG,22,NA,22,2021-03-16T12:30:42.052565805Z,2021-03-16T12:32:31.678264446Z,post,R3SP,2021-03-16 12:30:42,2021-03-16 12:32:31,109.625698566437
706,SG,22,NA,22,2021-03-16T12:32:36.428377310Z,2021-03-16T12:32:39.678265027Z,post,R3SP,2021-03-16 12:32:36,2021-03-16 12:32:39,3.24988770484924
707,CR,22,27,22,2021-03-16T12:35:48.055010514Z,2021-03-16T12:35:54.804686584Z,post,R3SP,2021-03-16 12:35:48,2021-03-16 12:35:54,6.749675989151
708,G,23,17,23,2021-03-16T12:28:39.801602372Z,2021-03-16T12:28:44.801630132Z,post,R3SP,2021-03-16 12:28:39,2021-03-16 12:28:44,5.00002765655518
709,CR,23,5,23,2021-03-16T12:29:48.052180586Z,2021-03-16T12:29:52.177127169Z,post,R3SP,2021-03-16 12:29:48,2021-03-16 12:29:52,4.12494659423828
710,SG,23,NA,23,2021-03-16T12:31:12.802817269Z,2021-03-16T12:31:17.677736076Z,post,R3SP,2021-03-16 12:31:12,2021-03-16 12:31:17,4.87491869926453
711,SG,23,NA,23,2021-03-16T12:31:50.552879921Z,2021-03-16T12:34:11.303960119Z,post,R3SP,2021-03-16 12:31:50,2021-03-16 12:34:11,140.751080274582
712,SG,23,NA,23,2021-03-16T12:34:18.554014781Z,2021-03-16T12:35:58.055210696Z,post,R3SP,2021-03-16 12:34:18,2021-03-16 12:35:58,99.5011959075928
713,SG,23,NA,23,2021-03-16T12:36:30.804952117Z,2021-03-16T12:36:50.805169979Z,post,R3SP,2021-03-16 12:36:30,2021-03-16 12:36:50,20.0002179145813
714,SG,23,NA,23,2021-03-16T12:36:56.180080357Z,2021-03-16T12:37:28.305382030Z,post,R3SP,2021-03-16 12:36:56,2021-03-16 12:37:28,32.1253015995026
716,SG,23,NA,23,2021-03-16T12:38:41.305850097Z,2021-03-16T12:38:56.806058748Z,post,R3SP,2021-03-16 12:38:41,2021-03-16 12:38:56,15.5002086162567
717,SG,23,NA,23,2021-03-16T12:42:19.807534931Z,2021-03-16T12:42:34.182580708Z,post,R3SP,2021-03-16 12:42:19,2021-03-16 12:42:34,14.3750457763672
719,SG,24,NA,24,2021-03-16T12:28:21.801410429Z,2021-03-16T12:28:24.551504679Z,post,R3SP,2021-03-16 12:28:21,2021-03-16 12:28:24,2.75009417533875
720,G,24,17,24,2021-03-16T12:28:31.301633258Z,2021-03-16T12:28:59.801746112Z,post,R3SP,2021-03-16 12:28:31,2021-03-16 12:28:59,28.5001127719879
721,SG,24,NA,24,2021-03-16T12:29:01.426802272Z,2021-03-16T12:29:09.801795838Z,post,R3SP,2021-03-16 12:29:01,2021-03-16 12:29:09,8.37499356269836
723,SG,24,NA,24,2021-03-16T12:30:25.927356602Z,2021-03-16T12:30:28.427463650Z,post,R3SP,2021-03-16 12:30:25,2021-03-16 12:30:28,2.50010681152344
