tag	count	last_det	rot	displacement_distance	displacement_angle	antenna_reach	trapezoid_length	type	size	headwidth	death	age	final_status	group	REP_treat
176	2706246	1468800	-9.421	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
177	2563866	1468800	-90.828	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
178	2706365	1468800	3.76	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
179	2754479	1468800	0.183	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
180	2769477	1468800	6.84	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
181	2681735	1468800	-91.632	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
182	2705875	1468800	90.749	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
183	2673719	1468800	-172.662	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
184	2663089	1468800	-178.557	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
185	2736442	1468800	90.075	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
186	2473441	1468800	-102.744	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
187	2563278	1468800	-86.815	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
188	2680304	1468800	-92.798	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
189	2755760	1468800	-82.895	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
190	2665552	1468800	8.663	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
191	2594734	1468800	-7.989	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
192	2747236	1468800	88.236	0	0	NA	NA	N	0	0	0	0	alive	nurse	R12BS
193	2629962	1468800	177.456	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
194	2467698	1468800	92.799	0	0	NA	NA	N	0	0	0	0	alive	forager	R12BS
