"Colony","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","antID","AntTask1perc","prop_time_outside","colony_size","treatment","Exposed","IsAlive","IsQueen","N_exposed","Ct_mean","above_detection_threshold","Ant_status"
"R5BP","G8",24.71,24.9,"21-G8",1.62852713760959,"Big Pathogen","BP","Big",46,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,24.805,"T","untreated nurse"
"R7BP","B6",28.03,28,"29-B6",0.151867379787249,"Big Pathogen","BP","Big",50,"forager",0.094,185,"Pathogen","untreated",TRUE,FALSE,14,28.015,"T","untreated forager"
"R5BP","F11",28.32,27.79,"21-F11",0.198858884999893,"Big Pathogen","BP","Big",47,"forager",0.198,176,"Pathogen","untreated",TRUE,FALSE,17,28.055,"T","untreated forager"
"R7BP","H3",33.67,35.12,"28-H11",0.001873990996458,"Big Pathogen","BP","Big",51,"forager",0.264,185,"Pathogen","untreated",TRUE,FALSE,14,34.395,"T","untreated forager"
"R5BP","G1",29.41,30.22,"20-G5",0.063677352714963,"Big Pathogen","BP","Big",48,"forager",0.07,176,"Pathogen","untreated",TRUE,FALSE,17,29.815,"T","untreated forager"
"R7BP","G3",36.59,35.76,"29-G3",0.000586884311262,"Big Pathogen","BP","Big",52,"forager",0.046,185,"Pathogen","untreated",TRUE,FALSE,14,36.175,"T","untreated forager"
"R5BP","A10",32.8,32.77,"21-A10",0.009319980420819,"Big Pathogen","BP","Big",49,"nurse",0.002,176,"Pathogen","untreated",TRUE,FALSE,17,32.785,"T","untreated nurse"
"R7BP","A10",37.59,33.96,"29-A12",0.000810993736382,"Big Pathogen","BP","Big",53,"nurse",0.004,185,"Pathogen","untreated",TRUE,FALSE,14,35.775,"T","untreated nurse"
"R7BP","A4",35.69,34.64,"29-A12",0.001226141240776,"Big Pathogen","BP","Big",53,"nurse",0.004,185,"Pathogen","untreated",TRUE,FALSE,14,35.165,"T","untreated nurse"
"R5BP","C5",33.37,32.79,"20-C9",0.007700519057411,"Big Pathogen","BP","Big",50,"nurse",0,176,"Pathogen","untreated",TRUE,FALSE,17,33.08,"T","untreated nurse"
"R7BP","F8",23.47,23.47,"29-F8",3.35290308180219,"Big Pathogen","BP","Big",54,"nurse",0.001,185,"Pathogen","treated",TRUE,FALSE,14,23.47,"T","treated nurse"
"R5BP","A7",33.92,33.4,"21-A7",0.005291027271275,"Big Pathogen","BP","Big",51,"forager",0.042,176,"Pathogen","untreated",TRUE,FALSE,17,33.66,"T","untreated forager"
"R7BP","F11",28.58,28.42,"29-F11",0.109156600039484,"Big Pathogen","BP","Big",55,"nurse",0.004,185,"Pathogen","untreated",TRUE,FALSE,14,28.5,"T","untreated nurse"
"R12BP","C7",32.66,33.55,"53-C5",0.010136149326946,"Big Pathogen","BP","Big",49,"nurse",0.001,192,"Pathogen","untreated",TRUE,FALSE,16,33.105,"T","untreated nurse"
"R5BP","C8",30.65,31.24,"21-C8",0.0306517306099,"Big Pathogen","BP","Big",52,"forager",0.022,176,"Pathogen","untreated",TRUE,FALSE,17,30.945,"T","untreated forager"
"R8BP","D1",31.99,32.42,"34-D1",0.008776422052266,"Big Pathogen","BP","Big",52,"nurse",0,180,"Pathogen","untreated",TRUE,FALSE,17,32.205,"T","untreated nurse"
"R12BP","D9",33.36,34.44,"52-D9",0.003394220092572,"Big Pathogen","BP","Big",50,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,33.9,"T","untreated nurse"
"R5BP","F3",33.28,33.56,"21-F3",0.006179879400867,"Big Pathogen","BP","Big",53,"forager",0.016,176,"Pathogen","untreated",TRUE,FALSE,17,33.42,"T","untreated forager"
"R8BP","H10",35.5,37.55,"35-H2",0.00044832194732,"Big Pathogen","BP","Big",53,"forager",0.066,180,"Pathogen","untreated",TRUE,FALSE,17,36.525,"T","untreated forager"
"R12BP","F9",32.72,33.74,"53-F7",0.009358322339069,"Big Pathogen","BP","Big",51,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,33.23,"T","untreated nurse"
"R5BP","C5",24.2,24.66,"21-C5",2.07572587947869,"Big Pathogen","BP","Big",54,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,24.43,"T","treated nurse"
"R8BP","H9",32.13,32.73,"35-H1",0.007334119804825,"Big Pathogen","BP","Big",54,"forager",0.22,180,"Pathogen","untreated",TRUE,FALSE,17,32.43,"T","untreated forager"
"R8BP","C11",27.21,27.59,"34-C11",0.233345806228101,"Big Pathogen","BP","Big",55,"nurse",0,180,"Pathogen","untreated",TRUE,FALSE,17,27.4,"T","untreated nurse"
"R12BP","A11",35.39,35.4,"53-A9",0.002347615671595,"Big Pathogen","BP","Big",52,"forager",0.112,192,"Pathogen","untreated",TRUE,FALSE,16,35.395,"T","untreated forager"
"R5BP","B3",29.37,29.93,"21-B3",0.070851655123854,"Big Pathogen","BP","Big",56,"nurse",0.003,176,"Pathogen","untreated",TRUE,FALSE,17,29.65,"T","untreated nurse"
"R8BP","A1",34.19,34.93,"34-A1",0.001758166496859,"Big Pathogen","BP","Big",56,"forager",0.195,180,"Pathogen","untreated",TRUE,FALSE,17,34.56,"T","untreated forager"
"R12BP","F3",32.14,34.13,"53-F1",0.009943768385984,"Big Pathogen","BP","Big",53,"forager",0.12,192,"Pathogen","untreated",TRUE,FALSE,16,33.135,"T","untreated forager"
"R5BP","E5",21.38,21.24,"20-E9",15.6275177192639,"Big Pathogen","BP","Big",57,"nurse",0,176,"Pathogen","treated",TRUE,FALSE,17,21.31,"T","treated nurse"
"R8BP","E4",34.37,34.4,"34-E4",0.001981287501967,"Big Pathogen","BP","Big",57,"forager",0.21,180,"Pathogen","untreated",TRUE,FALSE,17,34.385,"T","untreated forager"
"R12BP","G6",28.72,28.62,"52-F6",0.095838939629659,"Big Pathogen","BP","Big",54,"nurse",0.002,192,"Pathogen","untreated",TRUE,FALSE,16,28.67,"T","untreated nurse"
"R5BP","H3",32.62,34.05,"20-H7",0.006529275592282,"Big Pathogen","BP","Big",58,"nurse",0.004,176,"Pathogen","untreated",TRUE,FALSE,17,33.335,"T","untreated nurse"
"R8BP","A8",34.03,33.86,"33-B5",0.002607966449128,"Big Pathogen","BP","Big",58,"forager",0.241,180,"Pathogen","untreated",TRUE,FALSE,17,33.945,"T","untreated forager"
"R12BP","E6",32.53,32.25,"52-E6",0.008904591481425,"Big Pathogen","BP","Big",55,"nurse",0,192,"Pathogen","untreated",TRUE,FALSE,16,32.39,"T","untreated nurse"
"R1SP","H1",33.82,34.11,"4-H11",0.00277696560059,"Small Pathogen","SP","Small",10,"nurse",0.002,35,"Pathogen","untreated",TRUE,FALSE,3,33.965,"T","untreated nurse"
"R8BP","A3",35.44,33.8,"34-A3",0.001687601877991,"Big Pathogen","BP","Big",59,"forager",0.038,180,"Pathogen","untreated",TRUE,FALSE,17,34.62,"T","untreated forager"
"R12BP","H6",35.16,34.54,"52-H6",0.00185016303586,"Big Pathogen","BP","Big",56,"forager",0.103,192,"Pathogen","untreated",TRUE,FALSE,16,34.85,"T","untreated forager"
