"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_RF_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.574 0.784 0.825 0.653 0.298 0.598 0.749 0.331
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.521 0.723 0.751 0.629 0.362 0.611 0.678 0.438
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.296 0.374 0.334 0.723 0.213 0.286 0.254 0.571
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_ros" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.535 0.726 0.747 0.653 0.348 0.595 0.661 0.424
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_rus" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.341 0.432 0.393 0.721 0.222 0.305 0.276 0.528
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_smote" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.498 0.671 0.676 0.653 0.28 0.492 0.537 0.37
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_borderline_smote_type1" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.529 0.718 0.736 0.653 0.286 0.582 0.733 0.319
6 "CapsuleDef3" 0.2 15 0.5 32 3 0.5 "fit_SVM_borderline_smote_type2" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.516 0.711 0.732 0.636 0.352 0.61 0.69 0.418
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_all" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.575 0.784 0.825 0.655 0.244 0.541 0.726 0.268
7 "CapsuleDef3" 0.2 15 0.5 40 2 0.5 "fit_RF_sbc" 0.0505055174551724 0.0632748813745023 0.0515282582821694 0.717880333951763 0.353 0.446 0.407 0.724 0.242 0.344 0.319 0.501
