"ant1","ant2","start","end","space","types","ant1.mean.x","ant1.mean.y","ant1.mean.angle","ant2.mean.x","ant2.mean.y","ant2.mean.angle","ant1.zones","ant2.zones","ant1ID_str","ant2ID_str","pair","T_start_UNIX","T_stop_UNIX","T_start_sec","T_stop_sec","frame_start","frame_stop","duration","unique_interaction_id","Act_Name","Rec_Name","predicted_Hit","PERIOD","REPLICATE"
43,103,2021-04-19 16:05:00,2021-04-19 16:06:14,1,"1-1,2-1",1463.18480517369,2554.55563032407,1.03842184553446,1554.60444714514,2622.01755518138,0.609094735738127,"1","1","ant_43","ant_103","43_103",2021-04-19 16:05:00,2021-04-19 16:06:14,1618848300.652,1618848374.903,213930,214524,74.3760001659393,5601,"ant_43","ant_103",1,"whole_experiment","REP8/R8BP"
23,81,2021-04-19 16:08:36,2021-04-19 16:08:49,1,"1-1,2-1",1105.48007344507,3200.57950988106,-0.685137083095819,1219.73533880498,3137.71524464647,-0.863844084968042,"1","1","ant_23","ant_81","23_81",2021-04-19 16:08:36,2021-04-19 16:08:49,1618848516.779,1618848529.779,215659,215763,13.125,5638,"ant_23","ant_81",1,"whole_experiment","REP8/R8BP"
24,124,2021-04-19 16:08:49,2021-04-19 16:09:24,1,"1-1,1-2",1726.88132094541,3946.45933546338,0.145171997330635,1601.1411522038,4018.35703845852,-0.713067483443537,"1","1","ant_24","ant_124","24_124",2021-04-19 16:08:49,2021-04-19 16:09:24,1618848529.654,1618848564.779,215762,216043,35.25,5654,"ant_124","ant_24",1,"whole_experiment","REP8/R8BP"
23,82,2021-04-19 16:27:21,2021-04-19 16:27:32,1,"1-1,2-1",500.973889373119,2250.49470164217,-1.49751181572999,526.392492383031,2120.20091634793,-1.07319078899097,"1","1","ant_23","ant_82","23_82",2021-04-19 16:27:21,2021-04-19 16:27:32,1618849641.036,1618849652.786,224653,224747,11.875,5862,"ant_23","ant_82",1,"whole_experiment","REP8/R8BP"
115,124,2021-04-19 16:29:39,2021-04-19 16:30:58,1,"1-1,1-2",2798.48142596331,2927.68644330664,0.284329924582176,2670.74853039181,2865.42755662975,0.561122828929011,"1","1","ant_115","ant_124","115_124",2021-04-19 16:29:39,2021-04-19 16:30:58,1618849779.162,1618849858.288,225758,226391,79.2510001659393,5886,"ant_124","ant_115",1,"whole_experiment","REP8/R8BP"
63,74,2021-04-19 16:30:01,2021-04-19 16:30:59,1,"1-1,1-2,2-1,2-2",1111.71686022187,3256.93322273238,2.22698025344256,997.550164906907,3267.47460494418,-0.0698902035037085,"1","1","ant_63","ant_74","63_74",2021-04-19 16:30:01,2021-04-19 16:30:59,1618849801.662,1618849859.288,225938,226399,57.7510001659393,5887,"ant_74","ant_63",1,"whole_experiment","REP8/R8BP"
115,124,2021-04-19 16:31:24,2021-04-19 16:32:14,1,"1-1,1-2",2794.43862478035,2939.19043844304,0.395804836658071,2724.30111653283,2820.94422113259,1.04040759779596,"1","1","ant_115","ant_124","115_124",2021-04-19 16:31:24,2021-04-19 16:32:14,1618849884.663,1618849934.038,226602,226997,49.5,5906,"ant_124","ant_115",1,"whole_experiment","REP8/R8BP"
43,142,2021-04-19 16:34:12,2021-04-19 16:34:24,1,"1-1,2-1",1152.09586955668,2015.04152109734,-1.69017453979679,1156.98451942797,1874.07747598462,-0.747740992737225,"1","1","ant_43","ant_142","43_142",2021-04-19 16:34:12,2021-04-19 16:34:24,1618850052.164,1618850064.414,227942,228040,12.375,5919,"ant_43","ant_142",1,"whole_experiment","REP8/R8BP"
93,124,2021-04-19 16:49:58,2021-04-19 16:50:30,1,"1-1,1-2,2-1,2-2",346.094900600675,3309.96412891213,-2.34324156132341,343.402656465411,3203.58617478551,1.34515533931766,"1","1","ant_93","ant_124","93_124",2021-04-19 16:49:58,2021-04-19 16:50:30,1618850998.545,1618851030.045,235513,235765,31.625,6074,"ant_124","ant_93",1,"whole_experiment","REP8/R8BP"
57,124,2021-04-19 16:52:14,2021-04-19 16:53:25,1,"1-1,1-2",1012.93777401917,2743.72512432888,1.14027191181447,924.007223201934,2646.8045490196,0.9559877898464,"1","1","ant_57","ant_124","57_124",2021-04-19 16:52:14,2021-04-19 16:53:25,1618851134.421,1618851205.671,236600,237170,71.375,6094,"ant_124","ant_57",1,"whole_experiment","REP8/R8BP"
110,124,2021-04-19 17:27:41,2021-04-19 17:28:11,1,"1-1,1-2",1861.56551760663,1815.95471509598,-0.38135105168535,1720.03535781424,1836.54324574595,0.000466603138367892,"1","1","ant_110","ant_124","110_124",2021-04-19 17:27:41,2021-04-19 17:28:11,1618853261.81,1618853291.81,253619,253859,30.125,6508,"ant_124","ant_110",1,"whole_experiment","REP8/R8BP"
124,169,2021-04-19 17:33:42,2021-04-19 17:34:17,1,"1-1,2-1",3295.15577771605,3065.16394730208,1.298921223632,3350.0783452034,3190.79329635865,1.65537612098969,"1","1","ant_124","ant_169","124_169",2021-04-19 17:33:42,2021-04-19 17:34:17,1618853622.187,1618853657.563,256502,256785,35.5009999275208,6618,"ant_124","ant_169",1,"whole_experiment","REP8/R8BP"
78,124,2021-04-19 17:35:04,2021-04-19 17:35:14,1,"1-1,1-2",3283.48387169437,3301.08401358291,2.63217651669362,3368.33462888438,3203.97196199442,2.08645644906141,"1","1","ant_78","ant_124","78_124",2021-04-19 17:35:04,2021-04-19 17:35:14,1618853704.063,1618853714.063,257157,257237,10.125,6632,"ant_124","ant_78",1,"whole_experiment","REP8/R8BP"
124,138,2021-04-19 17:35:27,2021-04-19 17:35:47,1,"1-1,1-2,2-1",3286.05741007618,3596.2654755717,1.89250299488521,3207.06129511426,3618.10820607397,-1.75332447435241,"1","1","ant_124","ant_138","124_138",2021-04-19 17:35:27,2021-04-19 17:35:47,1618853727.813,1618853747.314,257347,257503,19.6259999275208,6636,"ant_124","ant_138",1,"whole_experiment","REP8/R8BP"
73,87,2021-04-19 17:48:52,2021-04-19 17:49:17,1,"1-1,1-2",2888.99139661055,3089.9815023018,-2.17475066763513,2881.95865137723,3227.73464823818,-1.66339940316466,"1","1","ant_73","ant_87","73_87",2021-04-19 17:48:52,2021-04-19 17:49:17,1618854532.319,1618854557.068,263783,263981,24.8740000724792,6810,"ant_87","ant_73",1,"whole_experiment","REP8/R8BP"
21,23,2021-04-19 18:05:26,2021-04-19 18:05:41,1,"1-1,1-2,2-1,2-2",624.956651158715,3958.32851809074,-0.697949210516921,720.007455729176,3994.76569187661,-1.98094697276121,"1","1","ant_21","ant_23","21_23",2021-04-19 18:05:26,2021-04-19 18:05:41,1618855526.074,1618855541.825,271733,271859,15.8760001659393,7011,"ant_23","ant_21",1,"whole_experiment","REP8/R8BP"
